post_id,influencer_id,platform,date,url,caption,reach,likes,comments,shares,saves
POST_0001,INF_013,Facebook,2025-03-09,https://facebook.com/post/1,Check out this amazing product! #HealthKart #Gritzo,24640,347,15,13,0
POST_0002,INF_007,Facebook,2025-03-22,https://facebook.com/post/2,Check out this amazing product! #HealthKart #MuscleBlaze,12550,801,73,35,0
POST_0003,INF_008,Facebook,2025-03-22,https://facebook.com/post/3,Check out this amazing product! #HealthKart #HKVitals,55954,1373,112,42,0
POST_0004,INF_138,Instagram,2025-05-26,https://instagram.com/post/4,Check out this amazing product! #HealthKart #MuscleBlaze,13712,679,47,26,18
POST_0005,INF_063,Twitter,2025-02-03,https://twitter.com/post/5,Check out this amazing product! #HealthKart #MuscleBlaze,355046,11506,1038,467,0
POST_0006,INF_006,Facebook,2025-06-30,https://facebook.com/post/6,Check out this amazing product! #HealthKart #MuscleBlaze,252135,9411,381,317,0
POST_0007,INF_136,Twitter,2025-03-27,https://twitter.com/post/7,Check out this amazing product! #HealthKart #MuscleBlaze,308871,6176,371,265,0
POST_0008,INF_054,Twitter,2025-05-11,https://twitter.com/post/8,Check out this amazing product! #HealthKart #Gritzo,84241,1679,163,61,0
POST_0009,INF_101,YouTube,2025-05-12,https://youtube.com/post/9,Check out this amazing product! #HealthKart #MuscleBlaze,42445,1095,73,39,0
POST_0010,INF_128,Twitter,2025-07-05,https://twitter.com/post/10,Check out this amazing product! #HealthKart #Gritzo,600794,19231,779,750,0
POST_0011,INF_090,Facebook,2025-02-15,https://facebook.com/post/11,Check out this amazing product! #HealthKart #MuscleBlaze,145721,2522,246,55,0
POST_0012,INF_010,YouTube,2025-02-05,https://youtube.com/post/12,Check out this amazing product! #HealthKart #MuscleBlaze,16892,210,19,3,0
POST_0013,INF_042,Facebook,2025-05-28,https://facebook.com/post/13,Check out this amazing product! #HealthKart #HKVitals,47746,1954,171,86,0
POST_0014,INF_135,Instagram,2025-05-16,https://instagram.com/post/14,Check out this amazing product! #HealthKart #HKVitals,17479,844,83,28,35
POST_0015,INF_078,Instagram,2025-02-24,https://instagram.com/post/15,Check out this amazing product! #HealthKart #Gritzo,34357,711,56,10,22
POST_0016,INF_032,Facebook,2025-03-19,https://facebook.com/post/16,Check out this amazing product! #HealthKart #Gritzo,10722,274,5,10,0
POST_0017,INF_091,YouTube,2025-05-09,https://youtube.com/post/17,Check out this amazing product! #HealthKart #Gritzo,1604232,53795,2788,2592,0
