tracking_id,source,campaign,influencer_id,user_id,brand,product,date,orders,revenue,clicks,cost_per_click
TRK_00001,influencer_post,Monsoon_Immunity,INF_062,USER_24232,MuscleBlaze,Mass Gainer XXL,2025-03-02,0,0.0,3,0.0
TRK_00002,organic,Women_Wellness,,USER_7045,Gritzo,Brain Development Supplement,2025-06-23,0,0.0,0,0.0
TRK_00003,influencer_post,Summer_Fitness_2024,INF_060,USER_15814,HKVitals,Calcium Magnesium Zinc,2025-04-03,0,0.0,2,0.0
TRK_00004,organic,New_Year_Health,,USER_8645,Gritzo,Growth Protein Powder,2025-07-16,0,0.0,0,0.0
TRK_00005,reel,Protein_Awareness,INF_094,USER_33717,Gritzo,SuperMilk Daily Nutrition,2025-04-26,0,0.0,4,0.0
TRK_00006,reel,New_Year_Health,INF_133,USER_13685,Gritzo,Immunity Booster,2025-06-18,0,0.0,8,0.0
TRK_00007,organic,New_Year_Health,,USER_33088,HKVitals,Calcium Magnesium Zinc,2025-02-17,0,0.0,0,0.0
TRK_00008,youtube_video,Summer_Fitness_2024,INF_044,USER_47299,MuscleBlaze,BCAA Pro,2025-06-17,0,0.0,6,0.0
TRK_00009,reel,Summer_Fitness_2024,INF_037,USER_12049,MuscleBlaze,Creatine Monohydrate,2025-05-29,0,0.0,3,0.0
TRK_00010,youtube_video,New_Year_Health,INF_128,USER_1949,MuscleBlaze,Creatine Monohydrate,2025-04-17,0,0.0,7,0.0
TRK_00011,organic,Women_Wellness,,USER_12526,MuscleBlaze,Mass Gainer XXL,2025-05-08,0,0.0,0,0.0
TRK_00012,youtube_video,Protein_Awareness,INF_035,USER_33086,Gritzo,Height Plus Formula,2025-07-18,0,0.0,9,0.0
TRK_00013,influencer_post,New_Year_Health,INF_146,USER_6424,MuscleBlaze,Mass Gainer XXL,2025-05-05,0,0.0,4,0.0
TRK_00014,reel,Women_Wellness,INF_096,USER_31181,HKVitals,Fish Oil Gold,2025-05-30,0,0.0,7,0.0
TRK_00015,youtube_video,Women_Wellness,INF_123,USER_19601,HKVitals,Skin Radiance Collagen,2025-01-27,0,0.0,8,0.0
TRK_00016,reel,New_Year_Health,INF_092,USER_464,HKVitals,Omega 3 Fatty Acids,2025-04-15,0,0.0,2,0.0
TRK_00017,reel,Women_Wellness,INF_133,USER_31778,MuscleBlaze,Creatine Monohydrate,2025-05-07,0,0.0,6,0.0
TRK_00018,organic,Monsoon_Immunity,,USER_43652,HKVitals,Calcium Magnesium Zinc,2025-05-01,0,0.0,0,0.0
TRK_00019,youtube_video,Summer_Fitness_2024,INF_069,USER_4185,HKVitals,Omega 3 Fatty Acids,2025-07-01,0,0.0,1,0.0
TRK_00020,influencer_post,Summer_Fitness_2024,INF_074,USER_49966,Gritzo,SuperMilk Daily Nutrition,2025-06-26,0,0.0,9,0.0
TRK_00021,story,Summer_Fitness_2024,INF_101,USER_20402,Gritzo,Height Plus Formula,2025-01-27,0,0.0,9,0.0
TRK_00022,reel,Monsoon_Immunity,INF_014,USER_27182,MuscleBlaze,Biozyme Performance Whey,2025-03-28,0,0.0,7,0.0
TRK_00023,youtube_video,Summer_Fitness_2024,INF_128,USER_42906,Gritzo,SuperMilk Daily Nutrition,2025-05-16,0,0.0,3,0.0
TRK_00024,youtube_video,Summer_Fitness_2024,INF_003,USER_17096,MuscleBlaze,Pre Workout WrathX,2025-06-21,0,0.0,7,0.0
TRK_00025,story,New_Year_Health,INF_018,USER_6431,MuscleBlaze,BCAA Pro,2025-06-10,0,0.0,5,0.0
TRK_00026,reel,Summer_Fitness_2024,INF_048,USER_30275,HKVitals,Fish Oil Gold,2025-05-06,0,0.0,8,0.0
TRK_00027,organic,Protein_Awareness,,USER_25703,Gritzo,Height Plus Formula,2025-02-28,0,0.0,0,0.0
TRK_00028,story,New_Year_Health,INF_011,USER_25703,MuscleBlaze,Biozyme Performance Whey,2025-05-26,0,0.0,9,0.0
TRK_00029,organic,New_Year_Health,,USER_2229,HKVitals,Multivitamin Women,2025-02-18,0,0.0,0,0.0
TRK_00030,influencer_post,Monsoon_Immunity,INF_096,USER_29271,MuscleBlaze,Mass Gainer XXL,2025-05-24,0,0.0,8,0.0
TRK_00031,story,Women_Wellness,INF_008,USER_30692,Gritzo,Growth Protein Powder,2025-02-11,0,0.0,7,0.0
TRK_00032,story,Monsoon_Immunity,INF_021,USER_26193,HKVitals,Calcium Magnesium Zinc,2025-02-01,0,0.0,7,0.0
TRK_00033,influencer_post,Monsoon_Immunity,INF_111,USER_9869,HKVitals,Multivitamin Women,2025-06-25,0,0.0,2,0.0
TRK_00034,youtube_video,Protein_Awareness,INF_030,USER_7794,HKVitals,Calcium Magnesium Zinc,2025-06-06,0,0.0,2,0.0
TRK_00035,reel,New_Year_Health,INF_119,USER_11803,HKVitals,Fish Oil Gold,2025-06-21,0,0.0,7,0.0
TRK_00036,influencer_post,Protein_Awareness,INF_017,USER_42665,MuscleBlaze,Biozyme Performance Whey,2025-01-23,0,0.0,4,0.0
TRK_00037,story,Monsoon_Immunity,INF_034,USER_27441,Gritzo,Brain Development Supplement,2025-06-09,0,0.0,9,0.0
TRK_00038,influencer_post,New_Year_Health,INF_072,USER_22616,MuscleBlaze,Creatine Monohydrate,2025-05-04,0,0.0,9,0.0
TRK_00039,organic,Protein_Awareness,,USER_28514,Gritzo,Brain Development Supplement,2025-01-25,0,0.0,0,0.0
TRK_00040,youtube_video,Monsoon_Immunity,INF_004,USER_7938,MuscleBlaze,Pre Workout WrathX,2025-03-26,0,0.0,4,0.0
TRK_00041,story,Women_Wellness,INF_144,USER_47217,MuscleBlaze,Pre Workout WrathX,2025-06-24,0,0.0,4,0.0
TRK_00042,youtube_video,Monsoon_Immunity,INF_125,USER_1142,MuscleBlaze,BCAA Pro,2025-06-13,1,4900.68,9,2.33
TRK_00043,organic,New_Year_Health,,USER_27224,HKVitals,Omega 3 Fatty Acids,2025-07-02,0,0.0,0,0.0
TRK_00044,reel,Summer_Fitness_2024,INF_117,USER_27991,Gritzo,Brain Development Supplement,2025-04-10,0,0.0,5,0.0
TRK_00045,influencer_post,Women_Wellness,INF_034,USER_35532,Gritzo,Growth Protein Powder,2025-07-20,0,0.0,1,0.0
TRK_00046,influencer_post,Women_Wellness,INF_122,USER_34388,Gritzo,Height Plus Formula,2025-03-12,0,0.0,2,0.0
TRK_00047,influencer_post,Monsoon_Immunity,INF_101,USER_18212,Gritzo,Brain Development Supplement,2025-07-16,0,0.0,5,0.0
TRK_00048,influencer_post,Summer_Fitness_2024,INF_090,USER_16064,Gritzo,Brain Development Supplement,2025-02-22,0,0.0,8,0.0
TRK_00049,youtube_video,New_Year_Health,INF_036,USER_20124,HKVitals,Skin Radiance Collagen,2025-05-19,1,813.89,6,0.57
